Column_Data_00
    step        time[-]          F_x           F_y           F_z
     124   3.875000e-01  -1.0998e-03    0.0000e+00    5.6308e-06
     125   3.906250e-01  -1.1140e-03    0.0000e+00    5.8689e-06
     126   3.937500e-01  -1.1282e-03    0.0000e+00    6.1147e-06
     127   3.968750e-01  -1.1424e-03    0.0000e+00    6.3682e-06
     128   4.000000e-01  -1.1566e-03    0.0000e+00    6.6296e-06
     129   4.031250e-01  -1.1709e-03    0.0000e+00    6.8991e-06
     130   4.062500e-01  -1.1851e-03    0.0000e+00    7.1768e-06
     131   4.093750e-01  -1.1994e-03    0.0000e+00    7.4630e-06
     132   4.125000e-01  -1.2137e-03    0.0000e+00    7.7576e-06
     133   4.156250e-01  -1.2280e-03    0.0000e+00    8.0610e-06
     134   4.187500e-01  -1.2423e-03    0.0000e+00    8.3733e-06
     135   4.218750e-01  -1.2565e-03    0.0000e+00    8.6943e-06
     136   4.250000e-01  -1.2708e-03    0.0000e+00    9.0249e-06
     137   4.281250e-01  -1.2852e-03    0.0000e+00    9.3648e-06
     138   4.312500e-01  -1.2995e-03    0.0000e+00    9.7141e-06
     139   4.343750e-01  -1.3137e-03    0.0000e+00    1.0073e-05
     140   4.375000e-01  -1.3280e-03    0.0000e+00    1.0442e-05
     141   4.406250e-01  -1.3423e-03    0.0000e+00    1.0821e-05
     142   4.437500e-01  -1.3566e-03    0.0000e+00    1.1210e-05
     143   4.468750e-01  -1.3709e-03    0.0000e+00    1.1609e-05
     144   4.500000e-01  -1.3851e-03    0.0000e+00    1.2019e-05
     145   4.531250e-01  -1.3994e-03    0.0000e+00    1.2439e-05
     146   4.562500e-01  -1.4136e-03    0.0000e+00    1.2870e-05
     147   4.593750e-01  -1.4278e-03    0.0000e+00    1.3312e-05
     148   4.625000e-01  -1.4420e-03    0.0000e+00    1.3765e-05
     149   4.656250e-01  -1.4562e-03    0.0000e+00    1.4230e-05
     150   4.687500e-01  -1.4703e-03    0.0000e+00    1.4706e-05
     151   4.718750e-01  -1.4845e-03    0.0000e+00    1.5193e-05
     152   4.750000e-01  -1.4986e-03    0.0000e+00    1.5693e-05
     153   4.781250e-01  -1.5127e-03    0.0000e+00    1.6204e-05
     154   4.812500e-01  -1.5267e-03    0.0000e+00    1.6727e-05
     155   4.843750e-01  -1.5408e-03    0.0000e+00    1.7262e-05
     156   4.875000e-01  -1.5547e-03    0.0000e+00    1.7810e-05
     157   4.906250e-01  -1.5687e-03    0.0000e+00    1.8370e-05
     158   4.937500e-01  -1.5826e-03    0.0000e+00    1.8943e-05
     159   4.968750e-01  -1.5965e-03    0.0000e+00    1.9529e-05
     160   5.000000e-01  -1.6104e-03    0.0000e+00    2.0128e-05
     161   5.031250e-01  -1.6242e-03    0.0000e+00    2.0739e-05
     162   5.062500e-01  -1.6380e-03    0.0000e+00    2.1364e-05
     163   5.093750e-01  -1.6517e-03    0.0000e+00    2.2003e-05
     164   5.125000e-01  -1.6654e-03    0.0000e+00    2.2655e-05
     165   5.156250e-01  -1.6791e-03    0.0000e+00    2.3320e-05
     166   5.187500e-01  -1.6927e-03    0.0000e+00    2.4000e-05
     167   5.218750e-01  -1.7062e-03    0.0000e+00    2.4693e-05
     168   5.250000e-01  -1.7197e-03    0.0000e+00    2.5401e-05
     169   5.281250e-01  -1.7332e-03    0.0000e+00    2.6123e-05
     170   5.312500e-01  -1.7466e-03    0.0000e+00    2.6859e-05
     171   5.343750e-01  -1.7599e-03    0.0000e+00    2.7610e-05
     172   5.375000e-01  -1.7732e-03    0.0000e+00    2.8375e-05
     173   5.406250e-01  -1.7864e-03    0.0000e+00    2.9155e-05
     174   5.437500e-01  -1.7996e-03    0.0000e+00    2.9950e-05
     175   5.468750e-01  -1.8127e-03    0.0000e+00    3.0760e-05
     176   5.500000e-01  -1.8258e-03    0.0000e+00    3.1585e-05
     177   5.531250e-01  -1.8387e-03    0.0000e+00    3.2426e-05
     178   5.562500e-01  -1.8517e-03    0.0000e+00    3.3281e-05
     179   5.593750e-01  -1.8645e-03    0.0000e+00    3.4153e-05
     180   5.625000e-01  -1.8773e-03    0.0000e+00    3.5040e-05
     181   5.656250e-01  -1.8900e-03    0.0000e+00    3.5942e-05
     182   5.687500e-01  -1.9026e-03    0.0000e+00    3.6860e-05
